recipeProcess_id,recipeProcess_recipeId,recipeProcess_no1,recipeProcess_image1,recipeProcess_no2,recipeProcess_image2,recipeProcess_no3,recipeProcess_image3,recipeProcess_no4,recipeProcess_image4,recipeProcess_no5,recipeProcess_image5,recipeProcess_no6,recipeProcess_image6,recipeProcess_no7,recipeProcess_image7,recipeProcess_no8,recipeProcess_image8,recipeProcess_no9,recipeProcess_image9,recipeProcess_no10,recipeProcess_image10,recipeProcess_no11,recipeProcess_image11,recipeProcess_no12,recipeProcess_image12,recipeProcess_no13,recipeProcess_image13,recipeProcess_no14,recipeProcess_image14,recipeProcess_no15,recipeProcess_image15,recipeProcess_no16,recipeProcess_image16,recipeProcess_no17,recipeProcess_image17,recipeProcess_no18,recipeProcess_image18,recipeProcess_no19,recipeProcess_image19,recipeProcess_no20,recipeProcess_image20
recipeProcess-11,recipe-11,1. 부추는 깨끗이 씻어 물기를 빼고 5cm 길이로 썬다.,,2. 부추에 날콩가루를 넣고 고루 섞이도록 버무린다.a,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00029_2.png,3. 찜기에 면보를 깔고 부추를 넣은 후 김이 오르게 쪄서 부추를 파랗게 익힌다.b,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00029_3.png,4. 양념장 재료를 섞어 양념장을 만든다.,,5. 찐 부추와 양념장을 곁들인다.c,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00029_5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-12,recipe-12,"1. 연근은 껍질을 벗기고 얇게 썰어 식초물에 10분 정도 담구어 녹말을 빼내고, 갈변을 방지한다.a",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00030_1.png,"2. 사과, 배추, 오이, 무는 나박 썰기를 하고 쪽파와 미나리 줄기는 3cm 길이로 썬다.b",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00030_2.png,3. 구기자는 깨끗이 씻어 냄비에 물300ml를 넣고 한소끔 끓여 식힌다.c,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00030_3.png,4. 동치미 국물과 구기자 달인물을 2 : 1 의 비율로 섞고 준비한 연근(1)과 썰어 놓은 재료(2)를 넣는다.,,5. 우려낸 구기자를 넣어 1~2일 정도 익히면 아삭하게 먹을 수 있다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-13,recipe-13,"1. 고춧가루, 멸치액젓, 다진 마늘, 매실액, 설탕, 통깨, 물을 섞어 양념장을 만든다.a",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00031_1.png,2. 다듬은 부추와 양파는 물기를 빼고 2cm 정도의 크기로 썰어 준다.,,3. 양념장(1)에 부추와 양파(2)를 섞어버무린다.,,4. 깨끗이 씻은 방울토마토는 꼭지를 떼고 윗부분에 칼로 십자모양으로 칼집을 낸다.b,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00031_4.png,5. 칼집을 낸 방울토마토에 양념속(3)을 사이사이에 넣어 마무리 한다.c,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00031_5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-14,recipe-14,"1. 사과, 순두부를 믹서에 넣고 곱게 갈아 소스를 만든다.a",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00032_1.png,2. 오이는 소금으로 문질러 씻어 반을 갈라 씨를 제거하고 어슷썰기를 한다.b,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00032_2.png,3. 썰어 놓은 오이에 순두부사과 소스를 넣고 버무려준다.c,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00032_3.png,4. 그 위에 다진 땅콩을 뿌려 마무리한다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-15,recipe-15,1. 북어채를 잘게 손으로 찢어 찬물에 헹구어 준비한다.,,"2. 양파, 표고버섯, 사과는 채를 썰고 새우는 등쪽의 두세 마디에 꼬챙이를 넣어 내장을 뺀 후 헹구어 준비한다.a",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00033_2.png,"3. 찬물에 북어채, 새우, 표고버섯, 양파를 넣고 20분 정도 끓인다.b",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00033_3.png,4. 사과를 넣어 북어의 씁쓸한 맛을 없앤다.,,5. 그릇에 담아낸다.c,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00033_5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-16,recipe-16,"1. 닭은 손질하여 찬물에 대파, 마늘, 후추를 넣고 센불에서 10분 정도 끓이다가 중간 불로 15분 정도 더 끓여 식힌 다음 체에 거른 육수에 깨를 넣어 불린다.",,"2. 쌀가루는 2등분하여 반은 체에 내리고, 반은 다시 3등분하여 녹차가루, 백련초가루, 단호박가루를 섞어 체에 내린다.",,3. 찜기에 1/3정도의 물을 넣고 끓이고 4가지색의 쌀가루를 면보에 나누어 올려 센불로 찐다. 김이 올라 쌀가루 사이로 구멍이 생기면 꺼낸다.a,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00034_3.png,"4. 3가지 색을 섞은 떡은 가늘고 길
게 둥글려 흰색 떡에 3가지 색의
떡을 붙인다.",,"5. 떡이 한 가닥으로 만들어지면 젓
가락 같은 도구로 앞뒤로 밀고 당
기면서 떡을 둥글리며 썰어서 3색
의 중심을 눌러 사탕처럼 만든다.",,"6. 달걀을 노른자와 흰자로 분리하여
지단을 부치고, 애호박은 돌려 깍
기한 후 프라이팬에 기름을 두르
고 볶는다.",,"7. 고기는 얇게 썰어 고기 양념을 하
고 기름에 볶아 고명을 준비한다.b",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00034_7.png,"8. 닭육수에서 깨를 건져 내고 육수
를 다시 끓이다가 떡을 넣어 끓인
다.",,"9. 그릇에 떡국을 담고 고명을 올려
준다.c",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00034_9.png,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-17,recipe-17,"1. 멸치는 머리와 내장을 제거하여
찬물에 넣고 약한 불에서 끓이다
가 중간 불에서 10분 정도 끓인
다.a",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00035_1.png,"2. 육수가 끓으면 멸치를 건져낸 후
간장, 양파, 다진 마늘을 넣고 끓
인다.",,"3. 고명으로 사용할 표고버섯과 파는
완자 크기로 썬다.",,"4. 두부는 곱게 으깨어 물기를 꽉 짜
고 표고버섯은 기둥을 떼어내고
잘게 다진다.b",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00035_4.png,"5. 두부와 표고버섯을 고루 섞어 둥
글려 완자 모양으로 빚어 밀가루
를 입힌 후 달걀물을 입힌다.c",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00035_5.png,"6. 끓는 육수에 달걀물을 입힌 완자
를 넣고, 완자가 익어 동동 떠오르
면 고명으로 준비한 표고버섯, 파,
남은 달걀물을 넣고 끓인다.",,7. 마지막에 식초를 넣는다.,,,,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-18,recipe-18,"1. 황태는 손질하여 물에 헹궈 건져
놓는다.",,"2. 콩나물은 다듬어 씻고 청양고추는
어슷썰기 한다.",,"3. 냄비에 물을 붓고 황태와 무를 넣
고 끓인다.a",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00036_3.png,"4. 육수에서 무를 건져내고 저염 된
장을 푼다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00036_4.png,"5. 콩나물, 다진 마늘, 청양고추를
넣고 뚜껑을 덮어 김이 나게 끓
여준다.c",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00036_5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-19,recipe-19,"1. 감자, 양파를 잘 익도록 얇게 썬다.",,"2. 애느타리버섯은 썰어 달궈진 팬에
굽는다.a",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00037_2.png,3. 대파를 송송 썬다.,,"4. 냄비에 물을 붓고 된장을 푼 뒤 감
자, 양파, 두부를 넣어 재료가 투명
해지게 끓인다.b",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00037_4.png,"5. 된장국의 재료를 건져서 국물 한 국
자와 믹서에 넣어 갈은 다음 된장국
에 다시 넣어 한 번 더 끓인다.",,"6. 구운 애느타리버섯과 대파를 국에
넣어 끓인 후 그릇에 담는다.c",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00037_6.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-20,recipe-20,"1. 찬물에 표고버섯의 기둥을 떼어
넣고 머리와 내장을 제거한 멸치,
다시마, 양파를 넣어 약한 불에서
끓이다가 중간 불에서 10분 정도
끓인다.a",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00038_1.png,"2. 육수의 표고버섯 기둥, 멸치, 다시
마, 양파를 건진다.b",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00038_2.png,"3. 청경채는 4cm 크기로 썰고, 표고
버섯은 편으로 썬다.",,"4. 끓는 육수에 준비한 표고버섯과
청경채(3)를 넣고 국간장으로 간을
한 후 마늘을 넣어 한소끔 끓인다.c",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00038_4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-21,recipe-21,1. 마늘은 곱게 다진다.,,"2. 올리브유, 식초, 설탕, 다진 마늘을 섞어 거품기로 충분히 저어주 어 올리브마늘 드레싱을 만든다.a",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00095_2.png,"3. 치커리는 싱싱하게 찬물에 담갔다가 물기를 뺀 후 한입 크기로 자르고, 적양배추, 양파, 당근은 곱게채를 썬다.b",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00095_3.png,"4. 접시에 준비한 치커리, 적양배추, 양파, 당근을 담고 올리브마늘 드레싱을 뿌린다.c",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00095_4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-22,recipe-22,"1. 양파는 잘게 다지고 다진 양파, 들깨가루, 플레인요거트, 꿀, 레몬즙을 섞어 들깨 드레싱을 만든다.a",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00086_1.png,2. 가지는 길게 길이를 살려 얇게 저민 후 달궈진 프라이팬에 올리브유를 두르고 센불에서 물기가 생기지 않게 굽는다.b,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00086_2.png,3. 닭가슴살은 가지 길이에 맞춰 썰은 후 달궈진 프라이팬에 올리브유를 두르고 노릇하게 굽는다.c,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00086_3.png,4. 구운 가지위에 가슴살을 올려 풀어지지 않게 돌돌 말아 놓는다.,,5. 잎채소는 찬물에 담가두었다가 물기를 제거한다.,,6. 접시에 구운 가지와 닭가슴살 말이를 올리고 잎채소와 들깨 드레싱을 곁들인다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-23,recipe-23,"1. 냄비에 메추리알이 잠길 정도의 찬물에 식초, 소금을 넣어 삶는다. 물이 끓어오르면 5분 정도 더 삶아찬물에 헹군 후 껍질을 벗기고 반으로 자른다.a",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00087_1.png,2. 딸기를 흐르는 물에 가볍게 씻어 꼭지를 제거한 후 물기를 빼고 반으로 자른다.b,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00087_2.png,3. 양상추는 찬물에 담갔다가 물기를 빼고 한입 크기로 찢는다.,,"4. 접시에 양상추, 딸기, 블루베리, 메추리알을 담고 플레인요거트를 끼얹는다.c",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00087_4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-24,recipe-24,"1. 냄비에 저지방우유와 생크림, 레몬즙을 넣고 약한 불에서 끓여준다.",,2. 물과 지방이 분리되어 덩어리가 몽글몽글해지면 불을 끄고 체에유청을 걸러준다.,,3. 걸러진 치즈를 면보로 물기를 꼭 짠 후 냉장고에 넣어 차게 둔다.,,"4. 유자청, 꿀, 식초, 물을 섞어 드레싱을 만든다.",,5. 잎채소는 씻어서 찬물에 담갔다가 물기를 빼고 한입 크기로 자른다.,,6. 곤드레나물은 씻어서 냄비에 넣고 1시간 정도 불린뒤 불린 물 그대로 뚜껑을 덮고 30분 정도 삶은 후 헹궈 물기를 꼭 짜고 잘게 썬다.,,7. 단호박은 껍질과 씨를 제거하고 익힌 후 으깬다.a,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00088_7.png,"8. 준비한 단호박, 곤드레나물, 꿀을 모두 섞어 크로켓 반죽을 만든 후 숟가락 2개로 타원형 모양의 형태를 만든다.b",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00088_8.png,9. 달걀을 풀어 크로켓 반죽에 달걀 물을 입히고 빵가루를 묻힌다.,,10. 180~200도의 기름에 크로켓을 돌려가며 노릇하게 튀기고 기름을 빼준다.c,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00088_10.png,,,11. 튀긴 크로켓과 채소를 접시에 담은 다음 리코타치즈를 위에 뿌리 고 유자꿀 드레싱을 곁들인다.,,,,,,,,,,,,,,,,,
recipeProcess-25,recipe-25,1. 시금치는 끓는 소금물에 데쳐 찬물에 헹구어 물기를 짜고 우유를 넣고 블렌더에 곱게 갈아 체에 거른다.a,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00089_1.png,2. 감자는 껍질을 벗기고 찜기에 넣어 센불에서 20분 정도 삶다가 젓가락으로 찔러서 들어가면 약한불로 줄여 뜸을 들인 후 꺼내서 으깬다.b,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00089_2.png,3. 아몬드는 잘게 다진다.,,4. 치커리는 씻어서 물기를 빼고 곱게 다진다.,,"5. 으깬 감자, 다진 치커리, 시금치 우유소스, 설탕을 넣고 골고루 섞어 준다.c",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00089_5.png,6. 접시에 감자(5)를 담고 아몬드와 크랜베리를 올리고 시금치우유 소스를 곁들인다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-26,recipe-26,1. 배는 강판에 간다.,,2. 빨강파프리카와 청피망은 잘게 다진다.,,"3. 모과 원액에 갈아 놓은 배, 다진 파프리카, 다진 피망, 식초, 설탕, 레몬즙을 넣고 섞는다.a",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00090_3.png,4. 양상추와 치커리는 찬물에 담가 싱싱해지면 물기를 빼고 한입 크기로 자른다.,,5. 적양배추는 얇게 채를 썰어 물에 담갔다가 물기를 뺀다.,,6. 새싹채소는 물에 씻어 물기를 뺀다.,,7. 방울토마토를 얇게 썬다.b,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00090_7.png,8. 두부는 물기를 없애고 사방 3cm 정도로 잘라 달궈진 프라이팬에 올리브유를 두르고 형태가 망가지 지 않도록 구워준다.c,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00090_8.png,9. 잣은 꼭지를 뗀다.,,10. 접시에 채소와 구운 두부를 담고 두부 위에 토마토와 잣을 얹은 후 모과 드레싱을 골고루 뿌려준다.,,,,,,,,,,,,,,,,,,,,,
